screen_name,user_name,status_id,url,title,published_date,geoLocation
"bette_crooke","Bette Crooke","1053132651006255104","https://t.co/3rsJybVB54","Here @BrianKempGA

https://t.co/3rsJybVB54","Thu Oct 18 23:56:04 EDT 2018",
"TINMP721","Trump Is NOT My President!!🔚","1053132658560196608","Not Available","@ArchKennedy @RAM0667 @BrianKempGA Fake picture. Fake facts.","Thu Oct 18 23:56:06 EDT 2018",
"PWhite_10","Pablo","1053132673751965696","Not Available","RT @bezy_bby: I pray that @staceyabrams becomes the next Governor of Georgia.","Thu Oct 18 23:56:10 EDT 2018",
"Dcybele","Vote November 6th","1053132677757394944","Not Available","RT @GaryRayBetz: #PrideAtlanta was terrorized by Karen Handel style anti-#LGBT hatred. Realize #GA06, that's what the bile y'all elected re…","Thu Oct 18 23:56:11 EDT 2018",
"Vicki06242573","Vicki","1053132683130351616","Not Available","RT @BrianKempGA: Radical Stacey Abrams wants to change Georgia with government-run healthcare, $13,000 in higher taxes, sanctuary cities, w…","Thu Oct 18 23:56:12 EDT 2018",
"kylerulez","Kyle Walter","1053132685198217217","https://t.co/0p2gGKlJBQ","RT @connorfscott: I’d rather sit in an ant bed https://t.co/0p2gGKlJBQ","Thu Oct 18 23:56:13 EDT 2018",
"v_matzek","Virginia Matzek","1053132693234282496","Not Available","And no one in Kemp's voter suppression campaign said, "Um....maybe's that a little too on the nose?"","Thu Oct 18 23:56:14 EDT 2018",
"claywells10","clay wells","1053132712918351874","https://t.co/0p2gGKlJBQ","RT @connorfscott: I’d rather sit in an ant bed https://t.co/0p2gGKlJBQ","Thu Oct 18 23:56:19 EDT 2018",
"TrumpsTrucker","Sandy","1053132724062453760","Not Available","RT @ArchKennedy: 📢ATTENTION #GA VOTERS📢

Stacey Abrams TOO EXTREME for Georgia.  She is running on a radical agenda that will turn our stat…","Thu Oct 18 23:56:22 EDT 2018",
"KathyDowney11","Kathy Downey","1053132751476584448","Not Available","RT @emilycdore: Just voted early for @staceyabrams and @SarahRiggsAmico!! A line at the ponce library in Atlanta was encouraging, though it…","Thu Oct 18 23:56:28 EDT 2018",
"EyesOnTheHoriz1","EyesOnTheHorizon","1053132752277684224","Not Available","Barack Hussein and Linda Sarsour have both endorsed ⁦@staceyabrams⁩. Georgia can not afford her reckless fiscal policies or her lack of a moral compass. Georgia needs a LEADER & she’s just a Dem taker. https://t.co/3ICUDjxXin","Thu Oct 18 23:56:29 EDT 2018",
"DartLucy","✝️Lucy Dart🙏🏻🇺🇸","1053132770120228864","Not Available","RT @ArchKennedy: 📢ATTENTION #GA VOTERS📢

Stacey Abrams TOO EXTREME for Georgia.  She is running on a radical agenda that will turn our stat…","Thu Oct 18 23:56:33 EDT 2018",
"wordsworth225","Book Lover","1053132774146822144","Not Available","RT @BrianKempGA: Radical Stacey Abrams wants to change Georgia with government-run healthcare, $13,000 in higher taxes, sanctuary cities, w…","Thu Oct 18 23:56:34 EDT 2018",
"LMAO_in_Fla","Question Everything","1053132773974777857","Not Available","RT @TheWayWithAnoa: They playing games. But our votes will be cast and they will be counted. I need y’all to lock in the election protectio…","Thu Oct 18 23:56:34 EDT 2018",
