screen_name,user_name,status_id,url,title,published_date,geoLocation
"ibcpatton","IBCPatton 🇱🇷🌎🌊","1053720643076681728","Not Available","@realDonaldTrump @staceyabrams is a great choice for Georgia!    

Vote for @staceyabrams !","Sat Oct 20 14:52:33 EDT 2018",
"FifthHarmonyFox","5thHarmony #5H DMs","1053720643554947072","https://t.co/VEE8EQG91g","https://t.co/VEE8EQG91g","Sat Oct 20 14:52:33 EDT 2018",
"samy45","samy45","1053720646503616512","Not Available","COBB COUNTY: A second in-person early voting location is now open –

Jim R. Miller Park Event Center
2245 Callaway Rd SW
Marietta, GA 30008

Find your polling location, vote early, and let's get it done for Georgia: 
https://t.co/ibvTOolZIJ #TeamAbrams #gapol https://t.co/FXbmxVJAAt","Sat Oct 20 14:52:33 EDT 2018",
"MelWellVets","Melissa McHarg","1053720647606648833","Not Available","My 3yr old knows what it takes to elect @staceyabrams #GAGov!

At this point, he has knocked on more doors than I did in the first 25 years of my life! #Gapol @GeorgiaDemocrat #GOTV https://t.co/raXdx2DWbd","Sat Oct 20 14:52:34 EDT 2018",
"lilospot","gay blanke","1053720647891742720","Not Available","This morning Trump is targeting two Black Americans running in close races for governor, so you know what to do:
1) DONATE to @AndrewGillum  and @staceyabrams 
2) get in line today and VOTE EARLY","Sat Oct 20 14:52:34 EDT 2018",
"FifthHarmonyFox","5thHarmony #5H DMs","1053720654606987267","https://t.co/4J422XAoQf","https://t.co/4J422XAoQf","Sat Oct 20 14:52:35 EDT 2018",
"JohnOrem5","John Orem, but spooky.","1053720663578546176","Not Available","@staceyabrams Canvassed this afternoon in Columbus until the rain drove us in, y'all drive safe out there.","Sat Oct 20 14:52:38 EDT 2018",
"ChrisBo09305677","‘nother impolite, arrogant woman","1053720669593186306","Not Available","@leeleeb50 Since I live in Georgia, I’m going with that one.  #BrianKemp is a bag of rat’s phlegm. 

#StaceyAbrams

#VoteForStaceyAbrams","Sat Oct 20 14:52:39 EDT 2018",
"FifthHarmonyFox","5thHarmony #5H DMs","1053720677717557249","https://t.co/fh1tNTGRFO","https://t.co/fh1tNTGRFO","Sat Oct 20 14:52:41 EDT 2018",
"FifthHarmonyFox","5thHarmony #5H DMs","1053720680573865984","https://t.co/JG1JxUvVhL","https://t.co/JG1JxUvVhL","Sat Oct 20 14:52:42 EDT 2018",
"iamsam45","Sam Bethune","1053720680984989696","Not Available","If success is suppressing eligible voters, leaking our Social Security numbers, and pointing a shotgun at a child on TV, I'll pass.

I’ll take Medicaid expansion, excellent public schools, and good-paying jobs. Donate if you agree: https://t.co/DBH2UDaqOK #GAGov #gapol https://t.co/EP5GahmQhZ","Sat Oct 20 14:52:42 EDT 2018",
"FifthHarmonyFox","5thHarmony #5H DMs","1053720686445953024","https://t.co/GXwxOj4yI9","https://t.co/GXwxOj4yI9","Sat Oct 20 14:52:43 EDT 2018",
"FifthHarmonyFox","5thHarmony #5H DMs","1053720689025400837","https://t.co/XI8lARmcF6","https://t.co/XI8lARmcF6","Sat Oct 20 14:52:44 EDT 2018",
"krist117","Kris Troske","1053720689553915904","Not Available","If success is suppressing eligible voters, leaking our Social Security numbers, and pointing a shotgun at a child on TV, I'll pass.

I’ll take Medicaid expansion, excellent public schools, and good-paying jobs. Donate if you agree: https://t.co/DBH2UDaqOK #GAGov #gapol https://t.co/EP5GahmQhZ","Sat Oct 20 14:52:44 EDT 2018",
"FifthHarmonyFox","5thHarmony #5H DMs","1053720691164504064","https://t.co/PzbMEhlIM9","https://t.co/PzbMEhlIM9","Sat Oct 20 14:52:44 EDT 2018",
"FifthHarmonyFox","5thHarmony #5H DMs","1053720696554176512","https://t.co/WIqyJV5LB9","https://t.co/WIqyJV5LB9","Sat Oct 20 14:52:45 EDT 2018",
"laurenjexpect","Lauren","1053720694859747331","Not Available","@realDonaldTrump Are you talking about @staceyabrams ???? Cause you seem to be misinformed..as usual... https://t.co/Xm4e3NivD8","Sat Oct 20 14:52:45 EDT 2018",
"CarrolLewis1","a-gi-ya resist","1053720697867042821","Not Available","If you vote early, you’ll have time to get somebody else out to vote. 

And somebody else. And somebody else. Until this "toss up" race becomes our victory.

To win in 17 days, we need you. Sign up for a volunteer shift this weekend and let's get it done: https://t.co/v8xF0ET48W","Sat Oct 20 14:52:46 EDT 2018",
"danceforyoustan","✨","1053720700471701505","Not Available","Today, we are in Atlanta mobilizing a huge crowd of Black people to get out the vote in Georgia for @staceyabrams! 

When they go low, we go to the polls! 

#VotingWhileBlack https://t.co/qrsW4gqQkq","Sat Oct 20 14:52:46 EDT 2018",
"FifthHarmonyFox","5thHarmony #5H DMs","1053720702786981888","https://t.co/aMRcc3XQt8","https://t.co/aMRcc3XQt8","Sat Oct 20 14:52:47 EDT 2018",
"LisaMendonca5","Lisa Mendonca","1053720710777061376","Not Available","If success is suppressing eligible voters, leaking our Social Security numbers, and pointing a shotgun at a child on TV, I'll pass.

I’ll take Medicaid expansion, excellent public schools, and good-paying jobs. Donate if you agree: https://t.co/DBH2UDaqOK #GAGov #gapol https://t.co/EP5GahmQhZ","Sat Oct 20 14:52:49 EDT 2018",
"Kurtlodge1","taehyung","1053720715214630912","Not Available","@realDonaldTrump Are you talking about @staceyabrams ???? Cause you seem to be misinformed..as usual... https://t.co/Xm4e3NivD8","Sat Oct 20 14:52:50 EDT 2018",
